Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
2026-04-05 11:56 PM,102,$4995.00,$20.00,n/a,n/a,$0.00,-$225.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$55.00,$80.00,$60.00,n/a,
2026-04-06 12:00 AM,103,$4895.00,-$100.00,n/a,n/a,$0.00,-$325.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$0.00,$100.00,n/a,
2026-04-06 1:10 AM,104,$5205.00,$310.00,n/a,n/a,$0.00,-$15.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$310.00,$0.00,n/a,
2026-04-06 5:59 AM,105,$5395.00,$190.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$25.00,$295.00,$105.00,n/a,
2026-04-06 7:08 AM,106,$5700.00,$305.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$35.00,$305.00,$0.00,n/a,
2026-04-06 8:26 PM,107,$5960.00,$260.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$60.00,$310.00,$50.00,n/a,
2026-04-06 9:26 PM,108,$5840.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$95.00,$215.00,n/a,
2026-04-07 12:55 AM,109,$6410.00,$570.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$570.00,$0.00,n/a,
2026-04-07 1:24 AM,110,$6715.00,$305.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$305.00,$0.00,n/a,
2026-04-07 5:43 AM,111,$7050.00,$335.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$360.00,$25.00,n/a,
2026-04-07 9:54 PM,112,$7350.00,$300.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$10.00,$505.00,$205.00,n/a,
2026-04-08 1:07 AM,113,$7630.00,$280.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$95.00,$340.00,$60.00,n/a,
2026-04-08 1:30 AM,114,$7995.00,$365.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$420.00,$55.00,n/a,
2026-04-08 1:50 AM,115,$8345.00,$350.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$80.00,$350.00,$0.00,n/a,
2026-04-08 8:42 PM,116,$8245.00,-$100.00,n/a,n/a,$0.00,-$100.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$30.00,$130.00,n/a,
2026-04-08 9:49 PM,117,$8125.00,-$120.00,n/a,n/a,$0.00,-$220.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$60.00,$180.00,n/a,
2026-04-09 6:44 PM,118,$8315.00,$190.00,n/a,n/a,$0.00,-$30.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$30.00,$235.00,$45.00,n/a,
2026-04-09 7:44 PM,119,$8440.00,$125.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$60.00,$210.00,$85.00,n/a,
2026-04-09 8:12 PM,120,$8740.00,$300.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$90.00,$300.00,$0.00,n/a,
2026-04-09 8:58 PM,121,$8615.00,-$125.00,n/a,n/a,$0.00,-$125.00,-$125.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$125.00,$0.00,$125.00,n/a,
2026-04-09 10:04 PM,122,$8925.00,$310.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$30.00,$310.00,$0.00,n/a,
2026-04-10 1:00 AM,123,$9025.00,$100.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$65.00,$250.00,$150.00,n/a,
2026-04-10 1:04 AM,124,$8925.00,-$100.00,n/a,n/a,$0.00,-$100.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$25.00,$125.00,n/a,
2026-04-10 1:30 AM,125,$8825.00,-$100.00,n/a,n/a,$0.00,-$200.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$55.00,$155.00,n/a,
2026-04-12 9:15 PM,126,$8705.00,-$120.00,n/a,n/a,$0.00,-$320.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$30.00,$150.00,n/a,
2026-04-12 11:26 PM,127,$8595.00,-$110.00,n/a,n/a,$0.00,-$430.00,-$110.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$110.00,$75.00,$185.00,n/a,
2026-04-13 8:20 PM,128,$8750.00,$155.00,n/a,n/a,$0.00,-$275.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$185.00,$30.00,n/a,
